
=== Monitor started 2026-03-24 21:18:04.299468 ===
[2026-03-24 21:18:04] Complete | 33% | 26.42mi | 0V | 0kW
[2026-03-25 07:21:33] Charging | 69% | 104.92mi | 238V | 5kW *** CHANGED ***
[2026-03-25 07:26:35] Charging | 70% | 106.4mi | 238V | 5kW *** CHANGED ***
[2026-03-25 07:31:37] Charging | 71% | 107.84mi | 237V | 5kW *** CHANGED ***
[2026-03-25 07:36:41] Charging | 72% | 109.32mi | 238V | 6kW *** CHANGED ***
[2026-03-25 07:41:43] Charging | 73% | 110.77mi | 238V | 5kW *** CHANGED ***
[2026-03-25 07:46:45] Charging | 74% | 112.24mi | 238V | 6kW *** CHANGED ***
[2026-03-25 07:51:47] Charging | 75% | 114.05mi | 237V | 6kW *** CHANGED ***
[2026-03-25 07:56:49] Charging | 76% | 115.5mi | 238V | 6kW *** CHANGED ***
[2026-03-25 08:01:51] Charging | 76% | 116.97mi | 240V | 4kW *** CHANGED ***
[2026-03-25 08:06:53] Charging | 77% | 118.04mi | 239V | 7kW *** CHANGED ***
[2026-03-25 08:11:55] Charging | 78% | 119.52mi | 239V | 5kW *** CHANGED ***
[2026-03-25 08:16:57] Complete | 78% | 120.22mi | NoneV | NonekW
[2026-03-25 08:22:00] Complete | 78% | 120.22mi | NoneV | NonekW
[2026-03-25 08:27:01] Complete | 78% | 120.22mi | 0V | 0kW
[2026-03-25 08:32:04] Complete | 78% | 120.22mi | 0V | 0kW
[2026-03-25 08:37:06] Complete | 78% | 120.22mi | NoneV | NonekW
[2026-03-25 08:42:07] Complete | 78% | 120.22mi | 0V | 0kW
[2026-03-25 08:47:11] Complete | 78% | 120.22mi | NoneV | NonekW
[2026-03-25 08:52:14] Complete | 78% | 120.22mi | NoneV | NonekW
[2026-03-25 08:57:17] Complete | 78% | 120.22mi | NoneV | NonekW
[2026-03-25 09:02:22] Complete | 78% | 120.22mi | NoneV | NonekW
[2026-03-25 09:07:25] None | 78% | 120.22mi | NoneV | NonekW
[2026-03-25 09:12:27] Complete | 78% | 120.22mi | NoneV | NonekW
[2026-03-25 09:17:30] None | 78% | 120.22mi | NoneV | NonekW
[2026-03-25 09:22:32] Complete | 78% | 120.22mi | NoneV | NonekW
[2026-03-25 09:27:34] Complete | 78% | 120.22mi | NoneV | NonekW
[2026-03-25 09:32:36] Complete | 78% | 120.22mi | NoneV | NonekW
[2026-03-25 09:37:38] Complete | 78% | 120.22mi | NoneV | NonekW
[2026-03-25 09:42:41] Complete | 78% | 120.22mi | NoneV | NonekW
[2026-03-25 09:47:45] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 09:52:50] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 09:57:54] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 10:02:58] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 10:08:01] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 10:13:06] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 10:18:09] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 10:23:11] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 10:28:12] Complete | 78% | 119.85mi | 0V | 0kW
[2026-03-25 10:33:15] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 10:38:18] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 10:43:20] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 10:48:22] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 10:53:24] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 10:58:26] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 11:03:28] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 11:08:30] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 11:13:32] Complete | 78% | 119.85mi | NoneV | NonekW
[2026-03-25 11:18:33] Complete | 78% | 119.85mi | 1V | 0kW
[2026-03-25 11:23:36] Complete | 77% | 117.71mi | 1V | 0kW *** CHANGED ***
[2026-03-25 11:28:37] Complete | 76% | 115.93mi | 1V | 0kW *** CHANGED ***
[2026-03-25 11:33:38] Complete | 75% | 112.12mi | 1V | 0kW *** CHANGED ***
[2026-03-25 11:38:40] Complete | 74% | 110.67mi | 0V | 0kW *** CHANGED ***
[2026-03-25 11:43:44] Complete | 73% | 109.59mi | 0V | 0kW *** CHANGED ***
[2026-03-25 11:48:45] Complete | 73% | 108.15mi | 0V | 0kW
[2026-03-25 11:53:45] Complete | 72% | 107.07mi | 0V | 0kW *** CHANGED ***
[2026-03-25 11:58:46] Complete | 72% | 107.07mi | 0V | 0kW
[2026-03-25 12:03:47] Complete | 72% | 107.07mi | 0V | 0kW
[2026-03-25 12:08:48] Complete | 72% | 106.7mi | 0V | 0kW
[2026-03-25 12:13:48] Complete | 72% | 106.7mi | 0V | 0kW
[2026-03-25 12:18:50] NoPower | 71% | 106.33mi | 0V | 0kW *** CHANGED ***
